Kepler_ID,period,transit_depth,transit_duration,flux_std,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
1575873,20.973795476206064,4.541037923403506e-05,10.0,0.0002159317740286,1575873,K04359.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,0.629001455,131.55662,0.365,1.263,14.7,0.81,3375.0,30567.67,9.4,1,q1_q17_dr25_tce,6739.0,3.948,2.059,291.92636,37.101292,11.283,1
1717722,184.0801192606634,0.0161769955167286,0.5,0.0010143459874212,1717722,K03145.01,Kepler-1977 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.53702121,132.1846,0.706,1.813,504.4,1.66,798.0,95.61,15.7,2,q1_q17_dr25_tce,4805.0,4.633,0.688,290.61798,37.289089,15.689,1
1717722,184.0801192606634,0.0161769955167286,0.5,0.0010143459874212,1717722,K03145.02,,CANDIDATE,CANDIDATE,0.858,0,0,0,0,0.977311489,131.70299,0.01,1.403,250.7,1.06,1331.0,737.36,14.8,3,q1_q17_dr25_tce,4805.0,4.633,0.688,290.61798,37.289089,15.689,1
1718189,123.25633257769437,0.0001563581520792,10.0,0.0003179163951457,1718189,K00993.01,Kepler-262 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.85362905,144.32031,0.676,3.439,355.6,1.75,618.0,34.57,23.0,1,q1_q17_dr25_tce,5830.0,4.54,0.876,290.72867,37.252651,14.246,1
1718189,123.25633257769437,0.0001563581520792,10.0,0.0003179163951457,1718189,K00993.02,Kepler-262 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.0607936,137.63148,0.718,3.215,236.6,1.45,734.0,68.66,19.4,2,q1_q17_dr25_tce,5830.0,4.54,0.876,290.72867,37.252651,14.246,1
1718189,123.25633257769437,0.0001563581520792,10.0,0.0003179163951457,1718189,K00993.03,,FALSE POSITIVE,FALSE POSITIVE,0.149,0,1,0,0,86.723653,195.3511,0.662,4.852,241.0,1.43,391.0,5.5,9.4,3,q1_q17_dr25_tce,5830.0,4.54,0.876,290.72867,37.252651,14.246,0
1718958,358.5597311824501,0.0035204124185271,2.9000000000000004,0.0017891891216409,1718958,K04053.01,Kepler-1934 b,CONFIRMED,CANDIDATE,0.985,0,0,0,0,1.41975831,132.92,0.644,1.429,60.9,0.85,1700.0,1968.38,8.1,1,q1_q17_dr25_tce,5925.0,4.394,1.035,290.91934,37.28717,12.801,1
1721157,24.370413442222382,0.001511034198392,7.65,0.0034395539690442,1721157,K04644.01,,CANDIDATE,CANDIDATE,0.97,0,0,0,0,3.44928111,133.38221,0.534,1.424,237.0,1.23,966.0,206.55,9.7,1,q1_q17_dr25_tce,5119.0,4.591,0.781,291.45734,37.206841,15.144,1
1722276,284.83868508876964,0.0067385304823001,0.5,0.0009139739069565,1722276,K01008.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,569.934135,248.94045,0.919,4.1904,18904.0,38.98,296.0,1.81,66.7,1,q1_q17_dr25_tce,5367.0,3.783,2.057,291.69672,37.238041,14.645,0
1723078,704.2806778382715,0.0005661019645339,7.65,0.0003213117668171,1723078,K07624.01,,CANDIDATE,CANDIDATE,0.246,0,0,0,0,330.025002,364.8075,0.68,6.659,259.2,5.92,478.0,12.36,12.2,1,q1_q17_dr25_tce,6126.0,3.578,3.466,291.86801,37.269878,12.668,1
1724513,20.533262075413347,3.858768996115666e-05,10.0,0.0002205620542725,1724513,K04224.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.975208831,131.63127,0.559,1.513,76.3,1.59,2064.0,4299.89,15.1,1,q1_q17_dr25_tce,6401.0,4.029,1.744,292.16486,37.275742,13.609,0
1724719,670.9716703621588,0.000775127027467,2.9000000000000004,0.0003194365374835,1724719,K04212.01,Kepler-1569 b,CONFIRMED,CANDIDATE,0.956,0,0,0,0,5.79179934,133.35814,0.896,3.474,118.5,1.69,1222.0,528.14,17.7,1,q1_q17_dr25_tce,6174.0,4.244,1.318,292.20471,37.221218,13.96,1
1724719,670.9716703621588,0.000775127027467,2.9000000000000004,0.0003194365374835,1724719,K04212.02,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,10.0989634,132.3351,0.529,6.428,57.0,1.03,1016.0,251.36,8.9,2,q1_q17_dr25_tce,6174.0,4.244,1.318,292.20471,37.221218,13.96,1
1725016,24.54518939235544,0.0001448987449046,10.0,0.0006266740646575,1725016,K01007.01,Kepler-748 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.40742502,355.49652,0.03,3.675,442.0,2.01,938.0,183.15,23.1,1,q1_q17_dr25_tce,5922.0,4.474,0.961,292.26291,37.236992,15.242,1
1725193,20.749617149208,0.0130394263626407,0.5,0.00710423963755,1725193,K04925.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.96384168,134.119473,1.059,5.4768,35652.8,43.7,1406.0,925.63,607.5,1,q1_q17_dr25_tce,6095.0,4.371,1.158,292.29431,37.26173,14.502,0
1849702,24.067303689165342,0.0001178605247397,10.0,0.0004030556502638,1849702,K02538.01,Kepler-1854 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,39.8312536,155.6409,0.24,2.442,388.8,1.46,420.0,7.33,15.8,1,q1_q17_dr25_tce,5026.0,4.58,0.759,286.28595,37.387058,14.125,1
